"id","dam","sire","sex"
"TR42567","N199681","TL38179",NA
"TR42569","N199681","TL38179",NA
"TR42568","N199681","TL38179",NA
"TR42566","N199681","TL38179",NA
"TR42571","N199681","TL38179",NA
"TR42573","N199681","TL38179",NA
"TR42570","N199681","TL38179",NA
"TR40762","K578732",NA,NA
"TR40767","K578732",NA,NA
"TR40764","K578732",NA,NA
"TR40766","K578732",NA,NA
"TR40769","K578732",NA,NA
"TR40765","K578732",NA,NA
"TR40768","K578732",NA,NA
"TR40763","K578732",NA,NA
"TR42084","TL38224",NA,NA
"TR42085","TL38224",NA,NA
"TR42087","TL38224",NA,NA
"TR42086","TL38224",NA,NA
"TR42088","TL38224",NA,NA
"TR42090","TL38224",NA,NA
"TR42089","TL38224",NA,NA
"TR42265","TP41695","TP28604",NA
"TR42262","TP41695","TP28604",NA
"TR42263","TP41695","TP28604",NA
"TR42266","TP41695","TP28604",NA
"TR42264","TP41695","TP28604",NA
"TR42259","TP41695","TP28604",NA
