"Box","laydate.change","standard.error","Oak_health_20m","Oak_health_50m","Oak_health_75m","Oak_health_100m","Oak_health_125m","Oak_health_150m","Oak_health_175m","Oak_health_200m","Oak_health_250m","No_trees_20m","No_trees_50m","No_trees_75m","No_trees_100m","No_trees_125m","No_trees_150m","No_trees_175m","No_trees_200m","No_trees_225m","No_trees_250m","territory_area","Mean_territory_area","edge.EDI.","altitude.m.","northness","habitat.type","soil.type","occupancy","duration"
"SW42",-0.38326616596446,0.0908148724938607,NA,NA,2,2.28571428571429,2.18181818181818,2.18181818181818,2,1.95,1.89285714285714,0,0,3,7,11,11,14,20,24,28,3554.572578358,14263.6318548314,62.1551,141.625,0.783021938,"5","1",22,55
"SW43",-0.152210105718807,0.162944180420097,NA,NA,2,2,2.18181818181818,2.18181818181818,1.86666666666667,2,1.92592592592593,0,0,4,7,11,11,15,17,22,27,2274.11007010797,9263.83190216636,2.67203,138.983,0.962640722,"3","1",9,51
"SW44",-0.392821133293002,0.104605162905672,2.33333333333333,1.8,1.8,2.22222222222222,2.22222222222222,2.22222222222222,2.33333333333333,2.21428571428571,1.95,3,5,5,9,9,9,12,14,16,20,3797.18944045386,15531.4639763798,13.2955,137.463,0.954845879,"3","1",18,43
"SW45",-0.298742808438103,0.0677278762676782,NA,2.33333333333333,2,2.22222222222222,2.27272727272727,2.25,2.25,2.23076923076923,2.38888888888889,0,3,8,9,11,12,12,13,15,18,2762.02965009026,13539.8445329244,74.7313,140.652,0.974299739,"3","1",8,50
"SW46",-0.164234569020212,0.148591300635862,1.5,2.4,2.4,2.22222222222222,2.27272727272727,2.25,2.25,2.2,2.0952380952381,2,5,5,9,11,12,12,15,16,21,2905.39521990716,21467.5935455739,92.2449,141.772,0.949570054,"5","1",6,50
"SW47",-0.29835158631591,0.171740024955654,NA,2.33333333333333,2,2.4,2.55555555555556,2.25,2.30769230769231,2.1875,2.05,0,3,4,5,9,12,13,16,17,20,2418.89857355505,24839.5305008297,56.2455,142.525,0.894483001,"5","1",11,56
"SW48",-0.131281149223101,0.146660986633755,NA,NA,4,2.33333333333333,2.66666666666667,2.375,2.33333333333333,2.17647058823529,2.15789473684211,0,0,1,3,6,8,12,17,17,19,1077.18326875799,8185.43264949948,5.50204,143.466,0.085660374,"5","1",8,52
"SW49",-0.340629522431258,0.120341887305566,NA,NA,4,2.75,2.375,2.375,2.33333333333333,2.21428571428571,2.47826086956522,0,0,1,4,8,8,12,14,18,22,1359.89522844995,8207.8592803555,13.8623,143.792,0.98257032,"5","1",8,52
"SW49A",1.40458015267176,2.17336167295792,NA,NA,NA,2.4,2.375,2.33333333333333,2.33333333333333,2.21428571428571,2.45833333333333,0,0,0,5,8,9,12,14,19,23,1128.87225261051,7882.99492952312,10.6617,144.092,0.784184313,"5","1",4,8
"SW5",-0.388600016402856,0.135777213498001,1,2.25,2.83333333333333,2.14285714285714,2.05405405405405,1.95348837209302,1.84905660377358,1.6986301369863,1.50381679389313,1,3,4,18,32,38,48,67,99,124,8236.74324867129,24271.4335714584,23.7672,138.788,-0.824787964,"3","2",18,51
"SW50",-0.425458715596339,0.200454483979013,NA,3,2.16666666666667,2.375,2.25,2.23076923076923,2.23076923076923,2.33333333333333,2.45833333333333,0,2,6,8,12,13,13,15,18,23,1939.56687108148,17367.819510495,83.5242,142.531,0.969806927,"5","1",6,36
"SW51",-0.288501560874082,0.0877932658825101,NA,4,2.33333333333333,2.1,2.25,2.25,2.23076923076923,2.23076923076923,2.5,0,1,3,10,12,12,13,13,17,25,3667.13901487458,27103.502367185,91.0009,140.887,0.896618626,"3","1",18,54
"SW52",-0.406566224420962,0.187235298938309,NA,2.5,2.75,2.6,2.33333333333333,2.23076923076923,2.33333333333333,2.6,2.45833333333333,0,2,4,5,9,13,15,19,21,23,2359.95360329561,12523.8128064383,68.048,143.132,0.984025787,"5","1",6,51
"SW54",-0.645382695507499,0.133644905347981,NA,2.25,2.25,2.5,2.9,2.84615384615385,2.58823529411765,2.61904761904762,2.5,0,4,4,6,9,12,16,20,26,27,2907.59719755314,15344.583419848,14.6054,144.653,0.391365636,"3","1",7,31
"SW55",-0.248886059834502,0.146536260540528,NA,2.33333333333333,2.25,2.25,2.71428571428571,2.92307692307692,2.57894736842105,2.45833333333333,2.5,0,3,4,4,7,12,18,23,27,27,2596.45530295128,20087.0987345099,58.3422,143.145,0.873594762,"3","1",6,37
"SW56",-0.364272671941569,0.152973207410617,NA,NA,1.5,2.25,2.6,2.90909090909091,2.5,2.46153846153846,2.5,0,0,2,4,5,10,17,25,30,33,4811.24320425512,28335.3091147365,102.739,141.277,0.817663696,"3","1",19,45
