Pnum,Section,Owner,Mixed species,Species,State code,Closed,Clear date,Missing entire brood,Suspected predation,Lay date,April lay date,Lay date uncertainty,Lay date visit interval,Laying rate,Incubation started,Num broken eggs,Expected hatch date,Hatch date,April hatch date,Incubation duration,Total egg weight,Num eggs weighed,Clutch size,Num chicks,Num chicks ringed,April ring date,Ring day,Num live chicks,Num dead chicks,Num fledglings,Mean chick weight,Num linked pulli records,Num linked adult records,Father,Mother,Identified adults,Chick ids,Dead ringed chick ids,Experiment codes,Num eggs manipulated,Comments,Legacy average egg weight,Legacy max nest state code,Legacy last visit date,Legacy hatch age in days,Legacy april hatch date,Legacy predation,Legacy clutch accuracy,Legacy mean fledge weight,Legacy num ringed dead chicks
20221B130,b,Anett Kiss,false,b,6,true,22-06-2022,,,17-04-2022,17,0,8,,true,0,08-05-2022,09-05-2022,39,14,3.60,3,9,9,9,53,15,9,0,9,10.39,9,1,,atr4773,"atr4773, 01103fbe58",,,,0,"FON, not hatched, both parents in box, FON sitting tight",,,,,,,,,
20221B131,b,Anett Kiss,false,b,6,true,22-06-2022,,,20-04-2022,20,0,10,1.00,true,0,10-05-2022,12-05-2022,42,15,4.76,4,8,7,7,56,15,7,2,5,9.61,7,2,atr4913,avl3037,"011016a3e0, avl3037, atr4913",,"ajy2110, ajy2115",,0,"eggs uncovered cold, FON, faceplated, FON",,,,,,,,,
20221B133,b,Keith Mc Mahon,false,b,6,true,22-06-2022,,,21-04-2022,21,0,3,1.00,true,0,11-05-2022,15-05-2022,45,17,3.60,3,8,7,6,59,15,6,2,5,7.80,6,2,,atr8189,atr8189,,atr7935,,0,"not hatched, not hatched, not hatched, not hatched, no luck getting the male#",,,,,,,,,
20221B134,b,Keith Mc Mahon,false,,6,true,08-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B136,b,Keith Mc Mahon,false,b,6,true,25-05-2022,,,25-04-2022,25,0,3,2.00,true,0,15-05-2022,20-05-2022,50,18,3.10,3,8,4,0,,,,2,0,,0,0,,,,,,,0,"female rings starts s88, not hatched, not hatched",,,,,,,,,
20221B137,b,Keith Mc Mahon,false,,6,true,08-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B138,b,Keith Mc Mahon,false,b,6,true,08-06-2022,,,21-04-2022,21,0,2,1.00,true,0,11-05-2022,11-05-2022,41,13,3.20,3,8,8,8,55,15,8,0,8,9.86,8,3,avl3013,atr6897,"01103f962b, avl3013, atr6897",,,,0,ring ends 897,,,,,,,,,
20221B139,b,Keith Mc Mahon,false,b,6,true,01-06-2022,,,26-04-2022,26,0,1,0.67,true,0,17-05-2022,18-05-2022,48,14,3.40,3,9,3,0,,,,3,0,,0,1,avl7987,,avl7987,,,,0,fon but eggs cold,,,,,,,,,
20221B14,b,Anett Kiss,false,,6,true,22-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B140,b,Keith Mc Mahon,false,b,6,true,27-05-2022,true,,20-04-2022,20,0,3,1.00,true,0,12-05-2022,13-05-2022,43,14,3.60,3,10,10,0,,,,0,0,,0,2,atr8272,atr7926,"01103fa40e, atr8272, atr7926",,,,0,"rehang, not hatched, not hatched, fon, faceplate off, was in place yesterday and wasn't taken off",,,,,,,,,
20221B141,b,Keith Mc Mahon,false,b,6,true,08-06-2022,,,25-04-2022,25,0,6,3.00,true,0,14-05-2022,14-05-2022,44,13,3.30,3,7,2,2,58,15,2,0,2,10.90,2,1,,atr7925,atr7925,,,,0,"fon unringed, nothing on fp",,,,,,,,,
20221B142,b,Keith Mc Mahon,false,b,6,true,01-06-2022,,,16-04-2022,16,0,6,1.00,true,0,08-05-2022,08-05-2022,38,12,3.00,3,11,11,11,52,15,11,0,11,10.72,11,2,afh3143,atr8254,"01103f7138, 01103fa627",,,,0,not hatched,,,,,,,,,
20221B142A,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B143,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B144,b,Keith Mc Mahon,false,,6,true,08-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B145,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B146,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B147,b,Keith Mc Mahon,false,b,6,true,01-06-2022,,,17-04-2022,17,0,6,1.00,true,0,09-05-2022,09-05-2022,39,13,3.40,3,10,9,9,53,15,9,0,9,11.23,9,2,j215730,atr8250,"01103fbb9b, j215730",,,,0,not hatched,,,,,,,,,
20221B148,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B149,b,Keith Mc Mahon,false,b,6,true,08-06-2022,,,18-04-2022,18,0,6,1.00,true,0,11-05-2022,14-05-2022,44,16,3.40,3,11,11,5,58,15,5,4,4,7.54,5,1,afh3290,,afh3290,,atr9164,,0,"bluti calling, greti singing nearby, not hatched, not hatched, not hatched, fon, very hungry chicks",,,,,,,,,
20221B15,b,Anett Kiss,false,,6,true,22-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B150,b,Keith Mc Mahon,false,g,6,true,20-06-2022,,,10-05-2022,40,0,16,1.00,true,0,27-05-2022,27-05-2022,57,12,5.80,3,6,3,2,71,15,2,0,2,14.35,2,0,,ty69492,ty69492,,,,0,,,,,,,,,,
20221B151,b,Keith Mc Mahon,false,b,6,true,29-05-2022,true,,24-04-2022,24,0,3,3.00,true,0,12-05-2022,15-05-2022,45,16,3.00,3,6,5,0,,,,0,0,,0,3,atr8178,r639400,"r639400, atr8178",,,,0,"not hatched, nest box empty apart from nest",,,,,,,,,
20221B152,b,Keith Mc Mahon,false,,6,true,08-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B153,b,Keith Mc Mahon,false,b,6,true,08-06-2022,,,24-04-2022,24,0,3,3.00,true,0,15-05-2022,16-05-2022,46,14,3.60,3,9,9,4,60,15,4,1,4,9.00,4,3,avl7963,atr8273,"01103fc929, atr8273, avl7963",,,,0,"not hatched, fon",,,,,,,,,
20221B154,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B155,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B156,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B157,b,Keith Mc Mahon,false,b,6,true,30-05-2022,,,23-04-2022,23,0,3,3.00,true,0,13-05-2022,16-05-2022,46,16,3.10,3,8,8,0,,,,8,0,,0,3,atr8278,atr7456,"atr7456, atr8278",,,,0,,,,,,,,,,
20221B158,b,Keith Mc Mahon,false,,6,true,20-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B159,b,Keith Mc Mahon,false,,6,true,01-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B16,b,Anett Kiss,false,,6,true,01-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B160,b,Keith Mc Mahon,false,b,6,true,01-06-2022,,,19-04-2022,19,0,6,1.00,true,0,09-05-2022,11-05-2022,41,15,3.10,3,8,8,8,55,15,8,0,8,10.59,8,2,avl5445,,"0110172b84, avl5445",,,,0,"not hatched, not hatched female ring ends 74, not hatched, very wary female",,,,,,,,,
20221B161,b,Keith Mc Mahon,false,b,6,true,01-06-2022,,,19-04-2022,19,0,6,1.00,true,0,09-05-2022,09-05-2022,39,13,3.60,3,8,8,8,53,15,8,0,8,11.44,8,1,,atr8323,3b00190fb8,,,,0,"not hatched, no luck catching here",,,,,,,,,
20221B162,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B163,b,Keith Mc Mahon,false,g,6,true,01-06-2022,,,15-04-2022,15,0,6,,true,0,05-05-2022,07-05-2022,37,15,5.50,3,8,7,4,51,15,4,0,4,17.88,4,1,,ty69125,ty69125,,,,0,"not hatched, parents didn't visit during faceplating, no luck catching, no visits when stalking and then not triggered trap",,,,,,,,,
20221B164,b,Keith Mc Mahon,false,b,6,true,01-06-2022,,,22-04-2022,22,0,2,1.00,true,0,13-05-2022,13-05-2022,43,13,3.10,3,9,9,9,57,15,9,0,9,10.76,9,3,atr8251,atr8249,"atr8249, atr8251",,,,0,fon ringed,,,,,,,,,
