Rtype,Ring,Spec,Age,Sex,Date,Place,Site,Find,Circumstance,Text,Wing,Wt,Init,Blmtd,Bill,Bdmtd,Billd,Tsmtd,Tarsus,Fat,Fatmtd,Pec,Pulaliv,Pulring
N,AFH4537,BLUTI,1,,15/05/2019 10:19,WYT,SW126,,,,,11.2,CG,,,,,,,,,,12,12
N,AFH4538,BLUTI,1,,15/05/2019 10:19,WYT,SW126,,,,,10.9,CG,,,,,,,,,,12,12
N,AFH4539,BLUTI,1,,15/05/2019 10:19,WYT,SW126,,,,,10.3,CG,,,,,,,,,,12,12
N,AFH4540,BLUTI,1,,15/05/2019 10:19,WYT,SW126,,,,,10.4,CG,,,,,,,,,,12,12
N,AFH3358,BLUTI,1,,21/05/2019 13:25,WYT,SW128,,,,,10.7,EFC,,,,,,,,,,13,13
N,AFH3359,BLUTI,1,,21/05/2019 13:25,WYT,SW128,,,,,10.7,EFC,,,,,,,,,,13,13
N,AFH3360,BLUTI,1,,21/05/2019 13:25,WYT,SW128,,,,,11.4,EFC,,,,,,,,,,13,13
N,AFH3361,BLUTI,1,,21/05/2019 13:25,WYT,SW128,,,,,11.1,EFC,,,,,,,,,,13,13
N,AFH3362,BLUTI,1,,21/05/2019 13:25,WYT,SW128,,,,,11.5,EFC,,,,,,,,,,13,13
N,AFH3363,BLUTI,1,,21/05/2019 13:25,WYT,SW128,,,,,11.6,EFC,,,,,,,,,,13,13
N,AFH3364,BLUTI,1,,21/05/2019 13:25,WYT,SW128,,,,,11.4,EFC,,,,,,,,,,13,13
N,AFH3365,BLUTI,1,,21/05/2019 13:25,WYT,SW128,,,,,11.3,EFC,,,,,,,,,,13,13
N,AFH3366,BLUTI,1,,21/05/2019 13:25,WYT,SW128,,,,,12.3,EFC,,,,,,,,,,13,13
N,AFH3367,BLUTI,1,,21/05/2019 13:25,WYT,SW128,,,,,11.1,EFC,,,,,,,,,,13,13
N,AFH3368,BLUTI,1,,21/05/2019 13:25,WYT,SW128,,,,,11.2,EFC,,,,,,,,,,13,13
N,AFH3369,BLUTI,1,,21/05/2019 13:25,WYT,SW128,,,,,10.4,EFC,,,,,,,,,,13,13
N,AFH3370,BLUTI,1,,21/05/2019 13:25,WYT,SW128,,,,,11.5,EFC,,,,,,,,,,13,13
O,D472251,BLUTI,5,M,07/05/2019 09:30,WYT,SW13,89,86,,,,KMM,,,,,,,,,,,
N,AFH4079,BLUTI,1,,16/05/2019 07:30,WYT,SW13,,,,,11.2,KMM,,,,,,,,,,12,12
N,AFH4080,BLUTI,1,,16/05/2019 07:30,WYT,SW13,,,,,12.2,KMM,,,,,,,,,,12,12
N,AFH4081,BLUTI,1,,16/05/2019 07:30,WYT,SW13,,,,,11.3,KMM,,,,,,,,,,12,12
N,AFH4082,BLUTI,1,,16/05/2019 07:30,WYT,SW13,,,,,10.1,KMM,,,,,,,,,,12,12
N,AFH4083,BLUTI,1,,16/05/2019 07:30,WYT,SW13,,,,,10.2,KMM,,,,,,,,,,12,12
N,AFH4084,BLUTI,1,,16/05/2019 07:30,WYT,SW13,,,,,11.5,KMM,,,,,,,,,,12,12
N,AFH4085,BLUTI,1,,16/05/2019 07:30,WYT,SW13,,,,,11.3,KMM,,,,,,,,,,12,12
N,AFH4086,BLUTI,1,,16/05/2019 07:30,WYT,SW13,,,,,10.9,KMM,,,,,,,,,,12,12
N,AFH4087,BLUTI,1,,16/05/2019 07:30,WYT,SW13,,,,,11.4,KMM,,,,,,,,,,12,12
N,AFH4088,BLUTI,1,,16/05/2019 07:30,WYT,SW13,,,,,10.9,KMM,,,,,,,,,,12,12
N,AFH4089,BLUTI,1,,16/05/2019 07:30,WYT,SW13,,,,,10.9,KMM,,,,,,,,,,12,12
N,AFH4090,BLUTI,1,,16/05/2019 07:30,WYT,SW13,,,,,10.3,KMM,,,,,,,,,,12,12
R,Z101415,BLUTI,5,M,02/05/2019 09:00,WYT,SW130,,,,,,CG,,,,,,,,,,,
O,AND6457,BLUTI,6,F,06/05/2019 12:59,WYT,SW130,89,86,,,,CG,,,,,,,,,,,
N,AFH2935,BLUTI,1,,14/05/2019 15:40,WYT,SW130,,,,,11.4,EFC,,,,,,,,,,13,13
N,AFH2936,BLUTI,1,,14/05/2019 15:40,WYT,SW130,,,,,11,EFC,,,,,,,,,,13,13
N,AFH2937,BLUTI,1,,14/05/2019 15:40,WYT,SW130,,,,,12.1,EFC,,,,,,,,,,13,13
N,AFH2938,BLUTI,1,,14/05/2019 15:40,WYT,SW130,,,,,12.1,EFC,,,,,,,,,,13,13
N,AFH2939,BLUTI,1,,14/05/2019 15:40,WYT,SW130,,,,,10.4,EFC,,,,,,,,,,13,13
N,AFH2940,BLUTI,1,,14/05/2019 15:40,WYT,SW130,,,,,11.6,EFC,,,,,,,,,,13,13
N,AFH2941,BLUTI,1,,14/05/2019 15:40,WYT,SW130,,,,,11.6,EFC,,,,,,,,,,13,13
N,AFH2942,BLUTI,1,,14/05/2019 15:40,WYT,SW130,,,,,11.2,EFC,,,,,,,,,,13,13
N,AFH2943,BLUTI,1,,14/05/2019 15:40,WYT,SW130,,,,,11.5,EFC,,,,,,,,,,13,13
N,AFH2944,BLUTI,1,,14/05/2019 15:40,WYT,SW130,,,,,11.1,EFC,,,,,,,,,,13,13
N,AFH2945,BLUTI,1,,14/05/2019 15:40,WYT,SW130,,,,,11,EFC,,,,,,,,,,13,13
N,AFH2946,BLUTI,1,,14/05/2019 15:40,WYT,SW130,,,,,12.2,EFC,,,,,,,,,,13,13
N,AFH2947,BLUTI,1,,14/05/2019 15:40,WYT,SW130,,,,,11.6,EFC,,,,,,,,,,13,13
N,AFH4858,BLUTI,1,,25/05/2019 07:19,WYT,SW21,,,,,10.3,KMM,,,,,,,,,,10,10
N,AFH4859,BLUTI,1,,25/05/2019 07:19,WYT,SW21,,,,,11,KMM,,,,,,,,,,10,10
N,AFH4860,BLUTI,1,,25/05/2019 07:19,WYT,SW21,,,,,11.5,KMM,,,,,,,,,,10,10
